date,total_value
2002-08-05,42845.85999999999
2002-08-06,44962.67999999999
2002-08-07,45561.77999999999
2002-08-08,47099.469999999994
2002-08-09,46620.18999999999
2002-08-12,46759.97999999999
2002-08-13,45162.38
2002-08-14,48038.05999999999
2002-08-15,49016.59
2002-08-16,49356.079999999994
2002-08-19,50554.27999999999
2002-08-20,50334.60999999999
2002-08-21,51452.92999999999
2002-08-22,52271.69999999999
2002-08-23,50254.72999999999
2002-08-26,50454.42999999999
2002-08-27,48697.06999999999
2002-08-28,46919.73999999999
2002-08-29,47538.80999999999
2002-08-30,46939.70999999999
2002-09-03,45242.259999999995
2002-09-04,45421.98999999999
2002-09-05,44303.67
2002-09-06,45661.63
2002-09-09,46120.93999999999
2002-09-10,47259.22999999999
2002-09-11,46859.829999999994
2002-09-12,45581.74999999999
2002-09-13,45941.20999999999
2002-09-16,45282.19999999999
2002-09-17,44323.63999999999
2002-09-18,43824.38999999999
2002-09-19,43125.43999999999
2002-09-20,43305.17
2002-09-23,42007.119999999995
2002-09-24,42027.09
2002-09-25,43704.56999999999
2002-09-26,43165.38
2002-09-27,42586.24999999999
2002-09-30,41408.01999999999
2002-10-01,43924.23999999999
2002-10-02,42466.42999999999
2002-10-03,41447.95999999999
2002-10-04,40669.13
2002-10-07,40289.69999999999
2002-10-08,40369.579999999994
2002-10-09,40089.99999999999
2002-10-10,42126.93999999999
2002-10-11,44403.51999999999
2002-10-14,44922.73999999999
2002-10-15,47079.49999999999
2002-10-16,45521.84
2002-10-17,47059.52999999999
2002-10-18,47578.74999999999
2002-10-21,48537.30999999999
2002-10-22,48237.759999999995
2002-10-23,49156.38
2002-10-24,47918.23999999999
2002-10-25,49196.31999999999
2002-10-28,48936.70999999999
2002-10-29,47798.42
2002-10-30,49076.49999999999
2002-10-31,49056.52999999999
2002-11-01,50454.42999999999
2002-11-04,51752.47999999999
2002-11-05,52151.88
2002-11-06,52890.76999999999
2002-11-07,51033.55999999999
2002-11-08,50094.969999999994
2002-11-11,48577.24999999999
2002-11-12,49815.38999999999
2002-11-13,50414.48999999999
2002-11-14,52151.88
2002-11-15,52830.85999999999
2002-11-18,52052.02999999999
2002-11-19,51253.22999999999
2002-11-20,53429.95999999999
2002-11-21,55406.98999999999
2002-11-22,55387.01999999999
2002-11-25,55926.20999999999
2002-11-26,54049.02999999999
2002-11-27,55766.44999999999
2002-11-29,55387.01999999999
2002-12-02,55946.17999999999
2002-12-03,54288.67
2002-12-04,53090.469999999994
2002-12-05,52351.579999999994
2002-12-06,52890.76999999999
2002-12-09,50394.51999999999
2002-12-10,51153.38
2002-12-11,51393.01999999999
2002-12-12,51672.59999999999
2002-12-13,50035.05999999999
2002-12-16,51652.63
2002-12-17,51812.38999999999
2002-12-18,50714.03999999999
2002-12-19,50074.99999999999
2002-12-20,50594.219999999994
2002-12-23,51293.17
2002-12-24,50654.13
2002-12-26,50514.34
2002-12-27,49595.719999999994
2002-12-30,49216.28999999999
2002-12-31,48697.06999999999
2003-01-02,50753.97999999999
2003-01-03,51313.13999999999
2003-01-06,52591.219999999994
2003-01-07,53250.22999999999
2003-01-08,51752.47999999999
2003-01-09,53350.079999999994
2003-01-10,54148.88
2003-01-13,53829.35999999999
2003-01-14,54108.93999999999
2003-01-15,53429.95999999999
2003-01-16,52830.85999999999
2003-01-17,50574.24999999999
2003-01-21,50015.09
2003-01-22,49815.38999999999
2003-01-23,50973.649999999994
2003-01-24,49595.719999999994
2003-01-27,49016.59
2003-01-28,49515.84
2003-01-29,50254.72999999999
2003-01-30,49036.55999999999
2003-01-31,48836.85999999999
2003-02-03,48936.70999999999
2003-02-04,48337.60999999999
2003-02-05,48117.93999999999
2003-02-06,48377.549999999996
2003-02-07,47578.74999999999
2003-02-10,47998.119999999995
2003-02-11,48257.72999999999
2003-02-12,47598.719999999994
2003-02-13,47838.35999999999
2003-02-14,48936.70999999999
2003-02-18,50454.42999999999
2003-02-19,50114.93999999999
2003-02-20,49915.23999999999
2003-02-21,50294.67
2003-02-24,49435.95999999999
2003-02-25,49495.869999999995
2003-02-26,48397.51999999999
2003-02-27,49495.869999999995
2003-02-28,50274.69999999999
2003-03-03,49256.22999999999
2003-03-04,48956.67999999999
2003-03-05,49056.52999999999
2003-03-06,48936.70999999999
2003-03-07,49036.55999999999
2003-03-10,47978.149999999994
2003-03-11,47558.77999999999
2003-03-12,48417.48999999999
2003-03-13,51193.31999999999
2003-03-14,51393.01999999999
2003-03-17,53150.38
2003-03-18,53809.38999999999
2003-03-19,53350.079999999994
2003-03-20,53549.77999999999
2003-03-21,54288.67
2003-03-24,52032.05999999999
2003-03-25,52770.94999999999
2003-03-26,53070.49999999999
2003-03-27,52691.06999999999
2003-03-28,52111.93999999999
2003-03-31,50454.42999999999
2003-04-01,50853.829999999994
2003-04-02,52671.09999999999
2003-04-03,52910.73999999999
2003-04-04,52052.02999999999
2003-04-07,52131.909999999996
2003-04-08,52071.99999999999
2003-04-09,50873.799999999996
2003-04-10,51492.869999999995
2003-04-11,50973.649999999994
2003-04-14,52012.09
2003-04-15,52511.34
2003-04-16,52391.51999999999
2003-04-17,53589.719999999994
2003-04-21,53789.42
2003-04-22,54807.88999999999
2003-04-23,55207.28999999999
2003-04-24,54907.73999999999
2003-04-25,53849.329999999994
2003-04-28,54907.73999999999
