date,total_value,cash,qqq_val,tqqq_val,qqq_qty,tqqq_qty
2015-08-12,103859.69623595897,8958.776235958969,46528.92,48372.0,421,20155
2015-08-13,103783.91623595897,8958.776235958969,46453.14,48372.0,421,20155
2015-08-14,104057.03623595898,8958.776235958969,46524.71,48573.55,421,20155
2015-08-17,105653.65623595897,8958.776235958969,46912.030000000006,49782.850000000006,421,20155
2015-08-18,104607.48623595896,8958.776235958969,46672.06,48976.65,421,20155
2015-08-19,103292.40623595897,8958.776235958969,46364.729999999996,47968.9,421,20155
2015-08-20,98178.90623595897,8958.776235958969,45080.68,44139.45,421,20155
2015-08-21,90684.98868795898,90684.98868795898,0.0,0.0,0,0
2015-08-24,90684.98868795898,90684.98868795898,0.0,0.0,0,0
2015-08-25,90684.98868795898,90684.98868795898,0.0,0.0,0,0
2015-08-26,90684.98868795898,90684.98868795898,0.0,0.0,0,0
2015-08-27,90684.98868795898,90684.98868795898,0.0,0.0,0,0
2015-08-28,90684.98868795898,90684.98868795898,0.0,0.0,0,0
2015-08-31,90684.98868795898,90684.98868795898,0.0,0.0,0,0
2015-09-01,90684.98868795898,90684.98868795898,0.0,0.0,0,0
2015-09-02,90684.98868795898,90684.98868795898,0.0,0.0,0,0
2015-09-03,90684.98868795898,90684.98868795898,0.0,0.0,0,0
2015-09-04,90684.98868795898,90684.98868795898,0.0,0.0,0,0
2015-09-08,90684.98868795898,90684.98868795898,0.0,0.0,0,0
2015-09-09,90684.98868795898,90684.98868795898,0.0,0.0,0,0
2015-09-10,90684.98868795898,90684.98868795898,0.0,0.0,0,0
2015-09-11,90684.98868795898,90684.98868795898,0.0,0.0,0,0
2015-09-14,90684.98868795898,90684.98868795898,0.0,0.0,0,0
2015-09-15,90684.98868795898,90684.98868795898,0.0,0.0,0,0
2015-09-16,90684.98868795898,90684.98868795898,0.0,0.0,0,0
2015-09-17,90684.98868795898,90684.98868795898,0.0,0.0,0,0
2015-09-18,90684.98868795898,90684.98868795898,0.0,0.0,0,0
2015-09-21,90595.188543534,817.4885435339966,0.0,89777.7,0,43794
2015-09-22,86567.913762594,86567.913762594,0.0,0.0,0,0
2015-09-23,86567.913762594,86567.913762594,0.0,0.0,0,0
2015-09-24,86567.913762594,86567.913762594,0.0,0.0,0,0
2015-09-25,86567.913762594,86567.913762594,0.0,0.0,0,0
2015-09-28,86567.913762594,86567.913762594,0.0,0.0,0,0
2015-09-29,86567.913762594,86567.913762594,0.0,0.0,0,0
2015-09-30,86567.913762594,86567.913762594,0.0,0.0,0,0
2015-10-01,86567.913762594,86567.913762594,0.0,0.0,0,0
2015-10-02,86567.913762594,86567.913762594,0.0,0.0,0,0
2015-10-05,86482.19182746652,781.6818274665275,0.0,85700.51,0,42217
2015-10-06,85215.68182746653,781.6818274665275,0.0,84434.0,0,42217
2015-10-07,86482.19182746652,781.6818274665275,0.0,85700.51,0,42217
2015-10-08,87748.70182746653,781.6818274665275,0.0,86967.02,0,42217
2015-10-09,88505.25242030654,88505.25242030654,0.0,0.0,0,0
2015-10-12,88505.25242030654,88505.25242030654,0.0,0.0,0,0
2015-10-13,88505.25242030654,88505.25242030654,0.0,0.0,0,0
2015-10-14,88505.25242030654,88505.25242030654,0.0,0.0,0,0
2015-10-15,88425.67570109906,8868.845701099053,39730.23,39826.6,369,18524
2015-10-16,88962.20570109905,8868.845701099053,39896.28,40197.08,369,18524
2015-10-19,89931.94570109906,8868.845701099053,40125.06,40938.04,369,18524
2015-10-20,88984.34570109905,8868.845701099053,39918.420000000006,40197.08,369,18524
2015-10-21,88185.08570109904,8868.845701099053,39674.88,39641.36,369,18524
2015-10-22,91401.31570109905,8868.845701099053,40482.99,42049.48,369,18524
2015-10-23,96053.70570109905,8868.845701099053,41615.82,45569.04,369,18524
2015-10-26,96264.77570109906,8868.845701099053,41641.65,45754.280000000006,369,18524
2015-10-27,96534.88570109905,8868.845701099053,41726.52,45939.52,369,18524
2015-10-28,97993.18570109905,8868.845701099053,42073.38,47050.96,369,18524
2015-10-29,97741.52570109905,8868.845701099053,42006.96,46865.719999999994,369,18524
2015-10-30,96997.61570109904,8868.845701099053,41818.77,46310.0,369,18524
2015-11-02,98951.85570109905,8868.845701099053,42291.09,47791.92,369,18524
2015-11-03,99469.93570109905,8868.845701099053,42438.69,48162.4,369,18524
2015-11-04,99658.86570109904,8868.845701099053,42442.38,48347.64,369,18524
2015-11-05,98988.75570109906,8868.845701099053,42327.99,47791.92,369,18524
2015-11-06,99203.51570109905,8868.845701099053,42357.51,47977.159999999996,369,18524
2015-11-09,97271.41570109905,8868.845701099053,41907.329999999994,46495.24,369,18524
2015-11-10,96793.92570109906,8868.845701099053,41800.32,46124.76,369,18524
2015-11-11,96557.02570109905,8868.845701099053,41748.66,45939.52,369,18524
2015-11-12,94669.20570109905,8868.845701099053,41342.76,44457.6,369,18524
2015-11-13,91449.28570109906,8868.845701099053,40530.96,42049.48,369,18524
2015-11-16,93699.46570109905,8868.845701099053,41113.98,43716.64,369,18524
2015-11-17,93910.53570109906,8868.845701099053,41139.81,43901.880000000005,369,18524
2015-11-18,97108.31570109905,8868.845701099053,41929.47,46310.0,369,18524
2015-11-19,97323.07570109905,8868.845701099053,41958.99,46495.24,369,18524
2015-11-20,98533.40570109905,8868.845701099053,42243.12,47421.44,369,18524
2015-11-23,98041.15570109905,8868.845701099053,42121.35,47050.96,369,18524
2015-11-24,97819.01570109904,8868.845701099053,42084.45,46865.719999999994,369,18524
2015-11-25,97855.91570109905,8868.845701099053,42121.35,46865.719999999994,369,18524
2015-11-27,98100.19570109906,8868.845701099053,42180.39,47050.96,369,18524
2015-11-30,97807.94570109904,8868.845701099053,42073.38,46865.719999999994,369,18524
2015-12-01,99525.28570109906,8868.845701099053,42494.04,48162.4,369,18524
2015-12-02,98522.33570109906,8868.845701099053,42232.05,47421.44,369,18524
2015-12-03,95213.11570109906,8868.845701099053,41516.19,44828.08,369,18524
2015-12-04,99332.66570109906,8868.845701099053,42486.66,47977.159999999996,369,18524
2015-12-07,98585.06570109905,8868.845701099053,42294.78,47421.44,369,18524
2015-12-08,98588.75570109906,8868.845701099053,42298.47,47421.44,369,18524
2015-12-09,95723.81570109905,8868.845701099053,41656.41,45198.56,369,18524
2015-12-10,96652.96570109905,8868.845701099053,41844.6,45939.52,369,18524
2015-12-11,92540.79570109906,8868.845701099053,40881.51,42790.44,369,18524
2015-12-14,93776.95570109905,8868.845701099053,41191.47,43716.64,369,18524
2015-12-15,94768.83570109904,8868.845701099053,41442.39,44457.6,369,18524
2015-12-16,97237.46570109905,8868.845701099053,42058.62,46310.0,369,18524
2015-12-17,94772.52570109905,8868.845701099053,41446.079999999994,44457.6,369,18524
2015-12-18,91445.59570109905,8868.845701099053,40527.27,42049.48,369,18524
2015-12-21,93192.45570109904,8868.845701099053,40977.45,43346.159999999996,369,18524
2015-12-22,94202.78570109906,8868.845701099053,41246.82,44087.119999999995,369,18524
2015-12-23,95435.25570109906,8868.845701099053,41553.09,45013.32,369,18524
2015-12-24,95242.63570109906,8868.845701099053,41545.71,44828.08,369,18524
2015-12-28,95220.49570109905,8868.845701099053,41523.57,44828.08,369,18524
2015-12-29,98096.50570109906,8868.845701099053,42176.7,47050.96,369,18524
2015-12-30,96419.75570109906,8868.845701099053,41796.63,45754.280000000006,369,18524
2015-12-31,94232.30570109905,8868.845701099053,41276.34,44087.119999999995,369,18524
2016-01-04,90768.10570109906,8868.845701099053,40405.5,41493.76,369,18524
2016-01-05,90327.51570109907,8868.845701099053,40335.39,41123.280000000006,369,18524
2016-01-06,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-01-07,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-01-08,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-01-11,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-01-12,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-01-13,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-01-14,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-01-15,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-01-19,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-01-20,88563.63110473406,88563.63110473406,0.0,0.0,0,0
